Name,Username,Student Id,Email,Aug 15 (2021-08-15 09:48:45),Aug 17 (2021-08-17 09:51:12),Aug 19 (2021-08-19 09:55:43),Aug 22 (2021-08-22 09:54:03),Aug 24 (2021-08-24 09:56:54),Aug 26 (2021-08-26 09:51:33),Aug 29 (2021-08-29 09:52:11),Aug 31 (2021-08-31 09:48:20),Sep 02 (2021-09-02 09:50:29),Sep 05 (2021-09-05 09:53:55),Sep 09 (2021-09-09 09:53:55),Sep 12 (2021-09-12 09:57:53),Sep 14 (2021-09-14 09:52:36),Sep 16 (2021-09-16 09:51:47),Points,# of Absence,Percent Attended
,dd4133816,,,Present (Checked In: 2021-08-15 09:49:00),Present (Checked In: 2021-08-17 09:51:24),Present (Checked In: 2021-08-19 09:55:53),Present (Checked In: 2021-08-22 09:54:12),Absent,Present (Checked In: 2021-08-26 09:51:52),Present (Checked In: 2021-08-29 09:52:22),Present (Checked In: 2021-08-31 09:48:28),Absent,Present (Checked In: 2021-09-05 09:54:18),Present (Checked In: 2021-09-09 09:54:13),Present (Checked In: 2021-09-12 09:58:26),Present (Checked In: 2021-09-14 09:53:21),Absent,11,3,78.57
,kd4737194,,,Present (Checked In: 2021-08-15 09:49:00),Present (Checked In: 2021-08-17 09:51:29),Absent,Present (Checked In: 2021-08-22 09:54:40),Present (Checked In: 2021-08-24 09:57:14),Present (Checked In: 2021-08-26 09:51:49),Present (Checked In: 2021-08-29 09:52:33),Present (Checked In: 2021-08-31 09:48:43),Present (Checked In: 2021-09-02 09:50:53),Present (Checked In: 2021-09-05 09:54:16),Present (Checked In: 2021-09-09 09:54:17),Present (Checked In: 2021-09-12 09:58:22),Present (Checked In: 2021-09-14 09:52:57),Present (Checked In: 2021-09-16 09:52:09),13,1,92.86
,kd4133686,,,Present (Checked In: 2021-08-15 09:49:37),Absent,Present (Checked In: 2021-08-19 09:55:55),Present (Checked In: 2021-08-22 09:54:14),Present (Checked In: 2021-08-24 09:57:27),Present (Checked In: 2021-08-26 09:51:47),Present (Checked In: 2021-08-29 09:52:29),Present (Checked In: 2021-08-31 09:48:39),Present (Checked In: 2021-09-02 09:50:49),Present (Checked In: 2021-09-05 09:54:22),Present (Checked In: 2021-09-09 09:54:09),Present (Checked In: 2021-09-12 09:58:31),Present (Checked In: 2021-09-14 09:53:10),Present (Checked In: 2021-09-16 09:52:00),13,1,92.86
,od4133911,,,Present (Checked In: 2021-08-15 09:48:57),Present (Checked In: 2021-08-17 09:51:31),Present (Checked In: 2021-08-19 09:55:58),Present (Checked In: 2021-08-22 09:54:17),Present (Checked In: 2021-08-24 09:57:08),Present (Checked In: 2021-08-26 09:51:43),Present (Checked In: 2021-08-29 09:52:24),Present (Checked In: 2021-08-31 09:48:39),Present (Checked In: 2021-09-02 09:51:01),Present (Checked In: 2021-09-05 09:54:10),Present (Checked In: 2021-09-09 09:54:09),Present (Checked In: 2021-09-12 09:58:20),Present (Checked In: 2021-09-14 09:52:50),Present (Checked In: 2021-09-16 09:51:58),14,,100
,pd4133939,,,Present (Checked In: 2021-08-15 09:49:08),Present (Checked In: 2021-08-17 09:51:37),Present (Checked In: 2021-08-19 09:56:07),Present (Checked In: 2021-08-22 09:54:27),Present (Checked In: 2021-08-24 09:57:17),Present (Checked In: 2021-08-26 09:51:56),Present (Checked In: 2021-08-29 09:52:28),Present (Checked In: 2021-08-31 09:48:46),Present (Checked In: 2021-09-02 09:51:01),Present (Checked In: 2021-09-05 09:54:28),Absent,Present (Checked In: 2021-09-12 09:58:35),Present (Checked In: 2021-09-14 09:53:01),Absent,12,2,85.71
,pd4134894,,,Present (Checked In: 2021-08-15 09:48:59),Present (Checked In: 2021-08-17 09:51:35),Present (Checked In: 2021-08-19 09:55:59),Absent,Present (Checked In: 2021-08-24 09:57:26),Present (Checked In: 2021-08-26 09:51:47),Present (Checked In: 2021-08-29 09:52:32),Present (Checked In: 2021-08-31 09:48:33),Present (Checked In: 2021-09-02 09:50:57),Present (Checked In: 2021-09-05 09:54:17),Present (Checked In: 2021-09-09 09:54:08),Present (Checked In: 2021-09-12 09:58:16),Present (Checked In: 2021-09-14 09:52:53),Present (Checked In: 2021-09-16 09:51:59),13,1,92.86
,pd4134037,,,Present (Checked In: 2021-08-15 09:49:00),Absent,Absent,Present (Checked In: 2021-08-22 09:54:47),Present (Checked In: 2021-08-24 09:57:13),Present (Checked In: 2021-08-26 09:51:48),Present (Checked In: 2021-08-29 09:52:24),Absent,Present (Checked In: 2021-09-02 09:50:48),Present (Checked In: 2021-09-05 09:54:15),Present (Checked In: 2021-09-09 09:54:07),Present (Checked In: 2021-09-12 09:58:19),Present (Checked In: 2021-09-14 09:52:52),Present (Checked In: 2021-09-16 09:52:04),11,3,78.57
,dh4133165,,,Present (Checked In: 2021-08-15 09:49:00),Present (Checked In: 2021-08-17 09:52:01),Present (Checked In: 2021-08-19 09:56:16),Present (Checked In: 2021-08-22 09:54:40),Present (Checked In: 2021-08-24 09:57:28),Present (Checked In: 2021-08-26 09:52:49),Present (Checked In: 2021-08-29 09:52:29),Present (Checked In: 2021-08-31 09:48:48),Present (Checked In: 2021-09-02 09:50:54),Present (Checked In: 2021-09-05 09:54:27),Present (Checked In: 2021-09-09 09:54:26),Present (Checked In: 2021-09-12 09:58:32),Present (Checked In: 2021-09-14 09:52:59),Present (Checked In: 2021-09-16 09:52:51),14,,100
,ph4136791,,,Absent,Present (Checked In: 2021-08-17 09:51:27),Present (Checked In: 2021-08-19 09:55:57),Present (Checked In: 2021-08-22 09:54:17),Absent,Absent,Present (Checked In: 2021-08-29 09:52:22),Present (Checked In: 2021-08-31 09:48:54),Present (Checked In: 2021-09-02 09:50:52),Present (Checked In: 2021-09-05 09:54:15),Absent,Present (Checked In: 2021-09-12 09:58:14),Present (Checked In: 2021-09-14 09:52:57),Present (Checked In: 2021-09-16 09:52:07),10,4,71.43
,kh4138456,,,Absent,Present (Checked In: 2021-08-17 09:51:51),Present (Checked In: 2021-08-19 09:56:39),Present (Checked In: 2021-08-22 09:54:32),Present (Checked In: 2021-08-24 09:57:04),Present (Checked In: 2021-08-26 09:51:55),Present (Checked In: 2021-08-29 09:52:40),Present (Checked In: 2021-08-31 09:48:33),Present (Checked In: 2021-09-02 09:50:57),Present (Checked In: 2021-09-05 09:54:13),Present (Checked In: 2021-09-09 09:54:15),Present (Checked In: 2021-09-12 09:58:16),Present (Checked In: 2021-09-14 09:52:53),Present (Checked In: 2021-09-16 09:52:01),13,1,92.86
,uh4034202,,,Present (Checked In: 2021-08-15 09:49:02),Present (Checked In: 2021-08-17 09:51:27),Present (Checked In: 2021-08-19 09:56:05),Present (Checked In: 2021-08-22 09:54:24),Present (Checked In: 2021-08-24 09:57:14),Present (Checked In: 2021-08-26 09:51:48),Present (Checked In: 2021-08-29 09:52:27),Present (Checked In: 2021-08-31 09:48:48),Present (Checked In: 2021-09-02 09:50:57),Present (Checked In: 2021-09-05 09:54:28),Present (Checked In: 2021-09-09 09:54:18),Absent,Present (Checked In: 2021-09-14 09:53:19),Present (Checked In: 2021-09-16 09:52:12),13,1,92.86
,gk4133101,,,Present (Checked In: 2021-08-15 09:49:05),Present (Checked In: 2021-08-17 09:51:24),Present (Checked In: 2021-08-19 09:56:01),Present (Checked In: 2021-08-22 09:54:21),Present (Checked In: 2021-08-24 09:57:08),Present (Checked In: 2021-08-26 09:51:51),Present (Checked In: 2021-08-29 09:52:26),Present (Checked In: 2021-08-31 09:48:35),Absent,Present (Checked In: 2021-09-05 09:54:29),Present (Checked In: 2021-09-09 09:54:18),Present (Checked In: 2021-09-12 09:58:24),Present (Checked In: 2021-09-14 09:52:52),Present (Checked In: 2021-09-16 09:52:26),13,1,92.86
,kk4932927,,,Present (Checked In: 2021-08-15 09:49:09),Present (Checked In: 2021-08-17 09:51:33),Present (Checked In: 2021-08-19 09:56:00),Present (Checked In: 2021-08-22 09:54:17),Present (Checked In: 2021-08-24 09:57:05),Present (Checked In: 2021-08-26 09:51:46),Absent,Present (Checked In: 2021-08-31 09:48:32),Present (Checked In: 2021-09-02 09:50:48),Present (Checked In: 2021-09-05 09:54:15),Absent,Present (Checked In: 2021-09-12 09:58:14),Present (Checked In: 2021-09-14 09:53:37),Present (Checked In: 2021-09-16 09:52:14),12,2,85.71
,pk4133115,,,Present (Checked In: 2021-08-15 09:48:59),Present (Checked In: 2021-08-17 09:51:29),Present (Checked In: 2021-08-19 09:55:59),Present (Checked In: 2021-08-22 09:54:18),Present (Checked In: 2021-08-24 09:57:02),Present (Checked In: 2021-08-26 09:51:43),Present (Checked In: 2021-08-29 09:52:25),Present (Checked In: 2021-08-31 09:48:38),Present (Checked In: 2021-09-02 09:50:41),Present (Checked In: 2021-09-05 09:54:11),Absent,Present (Checked In: 2021-09-12 09:58:13),Present (Checked In: 2021-09-14 09:53:15),Present (Checked In: 2021-09-16 09:52:04),13,1,92.86
,ip4037776,,,Present (Checked In: 2021-08-15 09:48:58),Present (Checked In: 2021-08-17 09:51:28),Present (Checked In: 2021-08-19 09:55:59),Present (Checked In: 2021-08-22 09:54:27),Present (Checked In: 2021-08-24 09:57:10),Present (Checked In: 2021-08-26 09:51:53),Absent,Present (Checked In: 2021-08-31 09:48:32),Present (Checked In: 2021-09-02 09:50:44),Present (Checked In: 2021-09-05 09:54:42),Present (Checked In: 2021-09-09 09:54:08),Present (Checked In: 2021-09-12 09:58:21),Present (Checked In: 2021-09-14 09:52:50),Present (Checked In: 2021-09-16 09:51:56),13,1,92.86
,uq4039461,,,Absent,Present (Checked In: 2021-08-17 09:52:17),Present (Checked In: 2021-08-19 09:56:03),Present (Checked In: 2021-08-22 09:54:30),Present (Checked In: 2021-08-24 09:57:23),Present (Checked In: 2021-08-26 09:52:14),Absent,Present (Checked In: 2021-08-31 09:50:22),Present (Checked In: 2021-09-02 09:50:56),Present (Checked In: 2021-09-05 09:54:39),Absent,Present (Checked In: 2021-09-12 09:58:50),Present (Checked In: 2021-09-14 09:53:02),Present (Checked In: 2021-09-16 09:53:11),11,3,78.57
,dw4135370,,,Present (Checked In: 2021-08-15 09:49:10),Present (Checked In: 2021-08-17 09:51:52),Present (Checked In: 2021-08-19 09:56:06),Present (Checked In: 2021-08-22 09:55:38),Absent,Absent,Present (Checked In: 2021-08-29 09:52:26),Present (Checked In: 2021-08-31 09:48:41),Present (Checked In: 2021-09-02 09:51:00),Present (Checked In: 2021-09-05 09:54:17),Absent,Present (Checked In: 2021-09-12 09:58:55),Present (Checked In: 2021-09-14 09:52:52),Present (Checked In: 2021-09-16 09:52:26),11,3,78.57
